sales_id,active_wallets,cumulative_sales,date,primary_sales_cumulative,sales_count
535,94309,62765273.8,NULL,1491330,2103033
536,94356,62808412.67,NULL,1494607,2107508
537,94425,62839316.64,NULL,1496611,2110623
538,94518,63006328.98,NULL,1499160,2114185
539,94656,63884107.09,NULL,1502165,2118289
540,94716,63928454.31,NULL,1506480,2123666
541,94771,64112198.14,NULL,1510161,2128526
542,94865,64225983.89,NULL,1515336,2134964
543,94931,64420264.58,NULL,1520269,2141005
544,94962,64474344.94,NULL,1524147,2145721
545,95059,64537597.91,NULL,1527028,2149491
546,95075,64926900.97,NULL,1530167,2153566
547,95198,65997500.34,NULL,1534066,2158541
548,95479,68889504.9,NULL,1540335,2165676
549,95605,69488604.59,NULL,1543488,2169700
550,95832,70669689.7,NULL,1549424,2176718
551,95914,70739685.86,NULL,1552450,2180666
552,95963,70806581.14,NULL,1554823,2183839
553,96017,70832422.01,NULL,1556988,2186801
554,96083,70860969.07,NULL,1559132,2189680
555,96148,70920253.29,NULL,1561484,2192927
556,96198,70945507.22,NULL,1563703,2196075
557,96299,71006481.34,NULL,1566077,2199161
558,96340,71063015.13,NULL,1568691,2202516
559,96401,71084245.9,NULL,1570448,2204983
560,96543,71112148.03,NULL,1572367,2207674
561,96629,71157226.93,NULL,1574293,2210421
562,96708,71210196.75,NULL,1576256,2213169
563,96772,71239505.57,NULL,1578368,2216027
564,96808,71972763.02,NULL,1580287,2218787
565,96880,72010045.21,NULL,1582468,2221937
566,96947,72065939.91,NULL,1584071,2224317
567,96967,72107046.22,NULL,1585846,2226839
568,97078,72152598.17,NULL,1588152,2230760
569,97162,72212785.54,NULL,1594503,2238886
570,97213,72283540.32,NULL,1599188,2244791
571,97285,72373794.08,NULL,1603393,2250398
572,97333,72466168.57,NULL,1606678,2254864
573,97491,72498325.23,NULL,1609906,2259130
574,97572,72557491.78,NULL,1613309,2263535
575,97596,72602799.4,NULL,1615954,2267327
576,97654,72660144.44,NULL,1619401,2271844
577,97850,72701694.99,NULL,1622413,2276122
578,97931,72766620.5,NULL,1625509,2280868
579,97979,72800019.01,NULL,1628546,2285133
580,98072,72824024.82,NULL,1630166,2287656
581,98182,72851666.88,NULL,1632119,2290710
582,98310,72880060.35,NULL,1635004,2294557
583,98470,72925789.62,NULL,1637195,2297884
584,98595,72962164.94,NULL,1643078,2305409
585,98674,73024230.14,NULL,1648670,2312360
586,98824,73084258.27,NULL,1652132,2317015
587,98875,73110408.55,NULL,1654275,2320337
588,98963,74000187.38,NULL,1656527,2323722
589,98991,74028029.16,NULL,1658609,2326709
590,99114,74060083.34,NULL,1661196,2330595
591,99288,74096598.53,NULL,1664332,2334745
592,99489,74137319.98,NULL,1667842,2339478
593,99579,74170174.56,NULL,1670014,2342756
594,99711,74224445.86,NULL,1672003,2345756
595,99851,74277798.17,NULL,1673658,2348315
596,100019,74312509.58,NULL,1675646,2351163
597,100128,74340995.67,NULL,1678059,2354362
598,100229,74367152.12,NULL,1682709,2360413
599,100284,74421249.8,NULL,1687081,2366101
600,100334,74467346.39,NULL,1690229,2370703
601,100399,74494735.11,NULL,1692846,2374606
602,100451,74521207.47,NULL,1695328,2378405
603,100490,74554007.76,NULL,1698793,2383094
604,100593,74587946.34,NULL,1701360,2386801
605,100806,74617141.31,NULL,1706543,2393432
606,100980,74677854.24,NULL,1710316,2398695
607,101017,74715625.7,NULL,1713626,2403185
608,101086,74775724.3,NULL,1715209,2405816
609,101136,74835000.17,NULL,1717054,2408851
610,101189,74889040.67,NULL,1719281,2412505
611,101263,74931254.29,NULL,1722334,2416910
612,101291,74969026.08,NULL,1725792,2421834
613,101333,75002523.71,NULL,1728891,2425881
614,101412,75042630.38,NULL,1732131,2430067
615,101554,75099164.27,NULL,1735672,2434586
616,101787,75157019.14,NULL,1737547,2437462
617,101853,75201432.41,NULL,1739048,2439974
618,101968,75257595.51,NULL,1741536,2443706
619,102040,75352948.62,NULL,1745566,2449247
620,102125,75413891.08,NULL,1751027,2456201
621,102221,75504106.78,NULL,1755081,2461409
622,102337,75601210.87,NULL,1758634,2466233
623,102398,75669780.25,NULL,1762474,2471446
624,102513,75727898.88,NULL,1767033,2477163
625,102560,75807106.09,NULL,1772142,2483787
626,102702,75876420.9,NULL,1776986,2490044
627,102805,75957360.52,NULL,1780434,2494791
628,102897,76010523.31,NULL,1783057,2498854
629,103049,76120706.31,NULL,1785965,2503351
630,103100,76182591,NULL,1788629,2507321
631,103293,76259385.51,NULL,1791316,2511237
632,103393,76329897.81,NULL,1794333,2515848
633,103471,76392724.78,NULL,1800103,2523290
634,103592,76476659.62,NULL,1805319,2529944
635,103687,76549574.89,NULL,1809358,2535233
636,103795,76616901.83,NULL,1813084,2540306
637,103867,76683477.09,NULL,1816588,2545242
638,103992,76737721.25,NULL,1819428,2549747
639,104152,76792987.42,NULL,1822756,2554740
640,104233,76872436.21,NULL,1827534,2560884
641,104315,76964160.38,NULL,1832471,2567209
642,104452,77028738.03,NULL,1836276,2572519
643,104542,77110114.36,NULL,1839514,2577376
644,104642,77161783.64,NULL,1842579,2581878
645,104790,77277217.16,NULL,1845212,2586038
646,105032,77390279.78,NULL,1870433,2612747
647,105226,77462293.56,NULL,1878147,2622364
648,105248,77540651.63,NULL,1887022,2633236
649,105339,77638970.99,NULL,1893672,2641329
650,105527,77757668.33,NULL,1897689,2646808
651,105664,77827960.32,NULL,1900910,2651123
652,105789,77919857.11,NULL,1903572,2654992
653,105857,77995759.42,NULL,1906242,2658733
654,105878,78052338.48,NULL,1909362,2663028
